21916	
	(0,-0.08673786279)	(-0.08745134446,0)	(0.008938859385,0)	(0,-0.08046940633)	(0.3244191761,0)
	(-0.08136217527,0)	(0.007500461905,0)	(0,-0.07997895148)	(0.3151280319,0)	(-0.084221464,0)
	(0.008013814271,0)	(0,-0.08012711744)	(-0.09229466081,0)	(0.01072793814,0)	(0,-0.08278294655)
	(-0.08047638763,0)	(0.007302874073,0)	(0,-0.08157769499)	(-0.08822078838,0)	(0.009045375513,0)
	(0,-0.08639447338)	(6.244541709e-035,0)	(-0.00370008281,0)	(0,-0.004818946995)	(-5.376250375e-035,0)
	(1.307544036e-034,0)	(0,-2.256003426e-034)	(-0.001004537459,0)	(-8.033971856e-035,0)	(0.00343008678,0)
	(0,0.003732866961)	(-8.970334322e-005,0)	(0.0004687172013,0)	(-0.001180567555,0)	(0,-0.001629708815)
	(-0.0005725351084,0)	(0.003901789419,0)	(0,0.002848505993)	(8.30812307e-035,0)	(5.845961368e-034,0)
	(0,1.968056046e-034)	(-2.444829365e-034,0)	(0.01370474346,0)	(0,0.004765695737)	(0.002006192939,0)
	(0.001435907526,0)	(0.005080206783,0)	(0,-0.001662715423)	(1.534471882e-035,0)	(-0.05216358909,0)
	(0,-0.04527004311)	(7.624771308e-035,0)	(-0.004416698053,0)	(0,-0.006417997397)	(-0.00327910446,0)
	(-0.01796207112,0)	(-0.03602151182,0)	(0,-0.02859043942)	(-0.00126552296,0)	(-0.000631898784,0)
	(0,-0.001097238039)	(-0.007422957933,0)	(-0.005483775087,0)	(0,-0.006234717655)	(9.926042122e-035,0)
	(2.771810738e-033,0)	(0,2.184415476e-034)	(0.2864762952,0)	(-0.01449686941,0)	(-0.00317177112,0)
	(0,-0.03220946282)	(1.736611702e-034,0)	(4.335674735e-033,0)	(0,3.589390129e-034)	(-0.02522420862,0)
	(0.002246584036,0)	(0,-0.04541525365)	(1.096233829e-034,0)	(1.421444505e-033,0)	(0,1.197476348e-034)
