18332	
	(-0.003727645511,1.830700693e-005)	(-0.01676541658,-0.0002763698438)	(-0.003678366118,3.209843691e-005)	(-0.01538780821,-0.0001530556967)	(0.02488719396,-0.001131362221)
	(-0.004784211607,0.0001056026755)	(-0.01818664025,-9.43918496e-006)	(-0.006128739494,0.0001489369309)	(-0.02425797681,-0.0001729321278)	(-0.003784188624,6.341297727e-006)
	(-0.01822316168,-0.0004150940368)	(0.0211657031,-0.001120218769)	(-0.006023699625,0.0001183285505)	(-0.025342156,-0.0003549525265)	(-0.005530670874,6.344688582e-005)
	(-0.02604615344,-0.000645518823)	(-0.007460248557,0.000278893941)	(-0.02708038467,7.432129727e-005)	(-0.009620936439,0.0005493218747)	(-0.03133968169,0.0005412801202)
	(-0.008269193254,0.0004546683648)	(-0.02613791783,0.0006142667671)	(-0.006049077827,0.0002134563124)	(-0.02130397802,0.0002035514085)	(0.03154719512,-0.001246607706)
	(-0.007888255404,0.0002359667219)	(-0.03270616337,-0.0005158676161)	(-0.006542813278,0.0001165865382)	(-0.04111568383,-0.002068492077)	(-0.006767238554,0.0001156800529)
	(-0.03583458134,-0.001367088376)	(-0.008930749177,0.0002997663994)	(-0.04079274587,-0.00119293189)	(-0.00717885239,0.0001557726896)	(-0.0332356426,-0.0008874559472)
	(0.02204605103,-0.001315154692)	(-0.005055220173,2.309776539e-005)	(-0.03379130234,-0.00166898453)	(0.01430828328,-0.0009879780678)	(-0.003527525895,-3.075101074e-005)
	(-0.02286844533,-0.0009764327873)	(0.01485333471,-0.0009692067389)	(-0.004338484362,-9.429045797e-006)	(-0.02850997701,-0.001313539462)	(-0.005189089957,2.614262301e-005)
	(-0.02790606647,-0.0009897245116)	(-0.009501443455,0.0003724715579)	(-0.03932980608,-0.0007345496651)	(-0.007563487727,0.0001798169544)	(-0.04064958159,-0.001688414932)
	(-1.811761718e-034,-2.685468228e-036)	(2.582686056e-034,-1.19494254e-035)	(0.04999133789,-0.0003277756004)	(-0.004169007682,0.0002736052406)	(-0.01127574998,0.0006078777274)
	(-3.885294491e-034,-8.025985141e-036)	(5.345276434e-034,-2.695121971e-035)	(-1.563992315e-034,-8.69022529e-037)	(2.544482382e-034,-1.016159299e-035)	(0.04451968815,-0.0005742638527)
	(-0.003971339907,0.0003449458844)	(-0.009776224114,0.0007502098085)	(-0.003805079221,0.0002911535382)	(-0.00966630297,0.0006485103845)	(-3.47084115e-034,-1.8316851e-036)
	(5.011554523e-034,-2.098755827e-035)	(-4.954486221e-034,-2.010673469e-035)	(6.443312461e-034,-3.999413442e-035)	(-4.321420314e-034,-1.29922498e-035)	(6.016652987e-034,-3.335322329e-035)
	(-0.004220409987,0.0005046508297)	(-0.008953167617,0.0009938888525)	(-2.005121795e-034,-5.651904898e-036)	(2.965723154e-034,-1.639399934e-035)	(0.05765619237,-0.000248676184)
	(-0.004238381928,0.000410719473)	(-0.009985402425,0.0008656407777)	(-2.313931438e-034,-8.246344067e-036)	(3.110334038e-034,-1.82804068e-035)	(0.06512284561,-3.858521176e-005)
	(-0.004113733306,0.0004488919794)	(-0.008965867302,0.0009013432725)	(-0.008051957642,0.0002547326782)	(-0.04782399331,-0.002441040015)	(0.01649704258,-0.00117360806)
	(-0.007889459141,0.0002852746581)	(-0.05150218672,-0.002952801489)	(-0.01068848198,0.0005688280406)	(-0.05550998204,-0.002629270111)	(-0.009294755671,0.0003544530271)
	(-0.04756753214,-0.001994844899)	(-0.01042125716,0.0005900558057)	(-0.05861333129,-0.003176981219)	(-0.001553438215,1.926764007e-005)	(-0.0463059791,-0.003434196707)
	(-0.005260181287,0.0002068572333)	(-0.05680452619,-0.00413680487)	(-0.008016566446,0.000448728894)	(-0.06175728264,-0.004242203754)	(-0.01078169672,0.0007444908557)
	(-0.06442545076,-0.003927145031)	(-0.004978014782,0.0001190556517)	(-0.04934021647,-0.003347580742)	(-0.007560369177,0.0003107200561)	(-0.05501677228,-0.003479084904)
	(0.01313804409,-0.0009685226616)	(-0.002849324279,2.809416033e-005)	(-0.04380937492,-0.003084879674)	(0.005950109548,-0.000451794048)	(-0.00327514179,9.529397699e-005)
	(-0.05346797461,-0.004017189076)	(-8.678005821e-033,-1.368707007e-033)	(-0.06064325882,-0.004931615785)	(-0.001527551135,4.986715912e-005)	(-0.0556664794,-0.004370503924)
	(-1.115753151e-032,-1.369184321e-033)	(-0.04915799944,-0.003747431754)	(3.443942899e-005,-3.560385014e-006)	(-0.009528339977,0.0007461893152)	(-0.02642386289,0.001261603729)
	(-0.007997946926,0.0007322395256)	(-0.01997985695,0.001404396254)	(-0.008057583829,0.0006463520552)	(-0.02139378412,0.001215118764)	(0.04628873834,-0.00111024994)
	(-0.01146998616,0.001117995535)	(-0.02956469961,0.001863734222)	(-0.01175868639,0.001279417637)	(-0.02877793861,0.002175582758)	(-0.01214742762,0.0009544679245)
	(-0.03604151872,0.001166592625)	(-0.01083714902,0.0008329605089)	(-0.03126377869,0.001215123121)	(0.04161677685,-0.001501602705)	(-0.0142924235,0.001423643278)
	(-0.03903266276,0.001921526787)	(-0.0126878476,0.001211172531)	(-0.03403929999,0.001829968497)	(-0.01080510022,0.0006365041963)	(-0.03637079181,0.0003715798982)
	(-0.008659565935,0.0003457605894)	(-0.03250826586,-0.0001288556889)	(0.02885674761,-0.001460739409)	(-0.0123856269,0.0008175047499)	(-0.04215493688,0.0002627930614)
	(-0.01044820086,0.0005132318443)	(-0.03921334273,-0.0002660296521)	(-0.01540982226,0.001557109735)	(-0.04325567316,0.001838009832)	(-0.01698120278,0.00182955537)
	(-0.04839292264,0.001851976778)	(-0.01488572248,0.001303206066)	(-0.04599851104,0.001006890036)	(-0.01329098712,0.001071585464)	(-0.0405512602,0.001051363329)
	(0.03886439345,-0.00178401224)	(-0.01208364307,0.0007087275863)	(-0.04533705352,-0.0004363582884)	(0.02927547553,-0.001714603445)	(-0.01131867866,0.0005807690678)
	(-0.04639838787,-0.0009773694951)	(-0.01409652683,0.001069570982)	(-0.04807005965,0.0001685525715)	(-0.01490890037,0.001190514856)	(-0.05254924614,-0.0002022032648)
