18332	
	(-0.0004153659028,0.0001399407838)	(-0.00198315049,0.0006881665789)	(-0.0004074324722,0.0001360232535)	(-0.001791736181,0.0006147259205)	(0.004759599772,-0.0008165312753)
	(-0.0005173120091,0.0001706991192)	(-0.002071924705,0.0007059451589)	(-0.0006564013351,0.0002188252726)	(-0.002800187254,0.000974994328)	(-0.0004237684047,0.0001439293669)
	(-0.002189089699,0.0007679562037)	(0.004123183203,-0.000718235265)	(-0.000647441778,0.0002177784923)	(-0.002968355342,0.001044962887)	(-0.0006000550241,0.0002044223663)
	(-0.003127125171,0.001116954607)	(-0.0007835452071,0.000258229181)	(-0.003061851409,0.001059308645)	(-0.0009869445631,0.0003197153855)	(-0.003456025997,0.001185396216)
	(-0.0008524828601,0.000272988995)	(-0.002849114925,0.0009564242867)	(-0.0006395759834,0.0002083888035)	(-0.002376756897,0.0008041117707)	(0.005658355535,-0.0009432278395)
	(-0.0008256977786,0.0002787555694)	(-0.003832333734,0.001374011504)	(-0.0006624278569,0.0002318158872)	(-0.00515120656,0.001952977796)	(-0.0007066278972,0.0002444280273)
	(-0.004399649652,0.001628530903)	(-0.0009072118691,0.0003112501849)	(-0.004885905982,0.001811357115)	(-0.0007552394455,0.0002581175226)	(-0.003985995574,0.00144883408)
	(0.003983855927,-0.0006839699742)	(-0.0005360461643,0.0001874134805)	(-0.00427614505,0.001594810645)	(0.002670172754,-0.0004672739141)	(-0.0003976043869,0.0001381547006)
	(-0.00288896645,0.001047166038)	(0.002966235096,-0.0005243208994)	(-0.0004746839083,0.0001654826494)	(-0.003606040274,0.001326274284)	(-0.0005645987455,0.0001946456378)
	(-0.003434474911,0.001246729465)	(-0.0009698428934,0.0003290751503)	(-0.004617301737,0.001686644215)	(-0.0007685598033,0.0002668638042)	(-0.004997878427,0.001876279908)
	(-3.167071995e-035,3.825871085e-036)	(3.494494662e-035,-8.047232523e-036)	(0.00805238482,-0.001237628792)	(-0.000423377382,0.0001280341367)	(-0.001164549804,0.000359564842)
	(-6.59802361e-035,7.814692388e-036)	(7.138918123e-035,-1.605850369e-035)	(-2.911504715e-035,3.534169572e-036)	(3.492650016e-035,-8.651791052e-036)	(0.007492661339,-0.00120223946)
	(-0.0003947320339,0.0001145887136)	(-0.0009809480945,0.0002897869867)	(-0.000381500782,0.000112726016)	(-0.0009800089109,0.0002944468834)	(-6.181812918e-035,7.734293781e-036)
